0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,167,167,0,0,0,167,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,167,0,0,0,0
39,0,0,0,0,0,0,0,0,0,0,0,0,167,0,0,0,0,167,167,167,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,167,0,0,0,0,167,167,167,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,167,0,0,0,0,167,167,167,0,0,0
167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,167,167,0,0,0
167,0,0,0,0,0,0,0,0,0,0,0,0,0,167,98,0,0,0,167,167,0,0,0
167,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,167,167,167,167,0,0,0
167,147,0,128,0,0,141,0,99,0,0,0,0,0,0,0,0,167,167,167,167,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,0,0,167,167,167,167,167,131,0,0,167,0,0,0,0,0,167,167,167,167,0,0,0
167,0,0,167,167,167,167,167,0,0,20,0,0,0,0,0,0,167,167,167,167,0,0,0
