id,EQUIPMENTID,LANE_BUNDLE_DIRECTION,WEEK_DAY,HOUR,TOTAL_VOLUME
26,121725,D,Mon,12,1639.6923076923076
25,121726,D,Mon,12,2592.4615384615386
24,121727,D,Mon,12,2743.3076923076924
1,121729,D,Mon,12,806.0769230769231
2,121730,D,Mon,12,948.3076923076923
5,121731,D,Mon,12,2768.923076923077
6,121732,D,Mon,12,3230.076923076923
7,121733,D,Mon,12,3975.846153846154
8,121734,D,Mon,12,4268.0
9,121735,D,Mon,12,4037.6153846153848
10,121736,D,Mon,12,2946.230769230769
3,121737,D,Mon,12,1370.4615384615386
4,121738,D,Mon,12,1378.8461538461538
11,121741,D,Mon,12,3383.230769230769
12,121742,D,Mon,12,3981.5384615384614
23,121744,D,Mon,12,2020.6923076923076
22,121745,D,Mon,12,2358.3846153846152
14,121746,D,Mon,12,889.6153846153846
15,121749,D,Mon,12,0.0
16,121750,D,Mon,12,939.6153846153846
17,121751,D,Mon,12,672.1538461538462
18,121752,D,Mon,12,514.3846153846154
19,121754,D,Mon,12,1754.1538461538462
20,121755,D,Mon,12,1247.6923076923076
21,121756,D,Mon,12,1310.5384615384614
124680,D,Mon,12,375.15384615384613


26,121725,C,Mon,12,1748.6923076923076
25,121726,C,Mon,12,2565.076923076923
24,121727,C,Mon,12,2598.769230769231
1,121729,C,Mon,12,893.3076923076923
2,121730,C,Mon,12,1076.8461538461538
5,121731,C,Mon,12,2775.230769230769
6,121732,C,Mon,12,3093.0
7,121733,C,Mon,12,3615.3846153846152
8,121734,C,Mon,12,3753.769230769231
9,121735,C,Mon,12,4268.615384615385
10,121736,C,Mon,12,1831.6153846153845
3,121737,C,Mon,12,1402.0
4,121738,C,Mon,12,1437.7692307692307
11,121741,C,Mon,12,2864.076923076923
12,121742,C,Mon,12,3879.0
23,121744,C,Mon,12,2231.0
22,121745,C,Mon,12,2463.6153846153848
14,121746,C,Mon,12,953.4615384615385
15,121749,C,Mon,12,985.6923076923077
16,121750,C,Mon,12,1043.3076923076924
17,121751,C,Mon,12,717.9230769230769
18,121752,C,Mon,12,576.0
19,121754,C,Mon,12,1464.2307692307693
20,121755,C,Mon,12,1295.2307692307693
21,121756,C,Mon,12,1188.2307692307693
124680,C,Mon,12,381.0769230769231

