ORIGIN,DESTINATION,OCCURRENCES
161,?,16
163,?,16
165,?,32
166,?,16
167,?,16
169,?,16
170,?,16
171,?,16
172,?,16
173,?,16
175,?,16
177,?,16
178,?,0
179,?,16
182,?,16
183,?,16
184,?,16
186,?,16
187,?,16
188,?,32
189,?,16
192,?,16
193,?,16
194,?,0
