ORIGIN,DESTINATION,OCCURRENCES
161,?,26
163,?,26
165,?,52
166,?,26
167,?,26
169,?,26
170,?,26
171,?,26
172,?,26
173,?,26
175,?,26
177,?,26
178,?,0
179,?,26
182,?,26
183,?,26
184,?,26
186,?,26
187,?,26
188,?,52
189,?,26
192,?,26
193,?,26
194,?,0
