ORIGIN,DESTINATION,OCCURRENCES
161,?,36
163,?,36
165,?,72
166,?,36
167,?,36
169,?,36
170,?,36
171,?,36
172,?,36
173,?,36
175,?,36
177,?,36
178,?,0
179,?,36
182,?,36
183,?,36
184,?,36
186,?,36
187,?,36
188,?,72
189,?,36
192,?,36
193,?,36
194,?,0
