ORIGIN,DESTINATION,OCCURRENCES
161,?,6
163,?,6
165,?,12
166,?,6
167,?,6
169,?,6
170,?,6
171,?,6
172,?,6
173,?,6
175,?,6
177,?,6
178,?,0
179,?,6
182,?,6
183,?,6
184,?,6
186,?,6
187,?,6
188,?,12
189,?,6
192,?,6
193,?,6
194,?,0
