ORIGIN,DESTINATION,OCCURRENCES
161,?,44
163,?,44
165,?,88
166,?,44
167,?,44
169,?,44
170,?,44
171,?,44
172,?,44
173,?,44
175,?,44
177,?,44
178,?,0
179,?,44
182,?,44
183,?,44
184,?,44
186,?,44
187,?,44
188,?,88
189,?,44
192,?,44
193,?,44
194,?,0
