ORIGIN,DESTINATION,OCCURRENCES
161,?,30
163,?,30
165,?,60
166,?,30
167,?,30
169,?,30
170,?,30
171,?,30
172,?,30
173,?,30
175,?,30
177,?,30
178,?,0
179,?,30
182,?,30
183,?,30
184,?,30
186,?,30
187,?,30
188,?,60
189,?,30
192,?,30
193,?,30
194,?,0
