ORIGIN,DESTINATION,OCCURRENCES
161,?,24
163,?,24
165,?,48
166,?,24
167,?,24
169,?,24
170,?,24
171,?,24
172,?,24
173,?,24
175,?,24
177,?,24
178,?,0
179,?,24
182,?,24
183,?,24
184,?,24
186,?,24
187,?,24
188,?,48
189,?,24
192,?,24
193,?,24
194,?,0
