ORIGIN,DESTINATION,OCCURRENCES
161,?,8
163,?,8
165,?,16
166,?,8
167,?,8
169,?,8
170,?,8
171,?,8
172,?,8
173,?,8
175,?,8
177,?,8
178,?,0
179,?,8
182,?,8
183,?,8
184,?,8
186,?,8
187,?,8
188,?,16
189,?,8
192,?,8
193,?,8
194,?,0
