ORIGIN,DESTINATION,OCCURRENCES
161,?,38
163,?,38
165,?,76
166,?,38
167,?,38
169,?,38
170,?,38
171,?,38
172,?,38
173,?,38
175,?,38
177,?,38
178,?,0
179,?,38
182,?,38
183,?,38
184,?,38
186,?,38
187,?,38
188,?,76
189,?,38
192,?,38
193,?,38
194,?,0
