ORIGIN,DESTINATION,OCCURRENCES
161,?,10
163,?,10
165,?,20
166,?,10
167,?,10
169,?,10
170,?,10
171,?,10
172,?,10
173,?,10
175,?,10
177,?,10
178,?,0
179,?,10
182,?,10
183,?,10
184,?,10
186,?,10
187,?,10
188,?,20
189,?,10
192,?,10
193,?,10
194,?,0
