ORIGIN,DESTINATION,OCCURRENCES
161,?,48
163,?,48
165,?,96
166,?,48
167,?,48
169,?,48
170,?,48
171,?,48
172,?,48
173,?,48
175,?,48
177,?,48
178,?,0
179,?,48
182,?,48
183,?,48
184,?,48
186,?,48
187,?,48
188,?,96
189,?,48
192,?,48
193,?,48
194,?,0
